book,category,price,star-rating,in-stock
It's Only the Himalayas,Travel,45.17,2,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True
Under the Tuscan Sun,Travel,37.33,3,True
A Summer In Europe,Travel,44.34,2,True
The Great Railway Bazaar,Travel,30.54,1,True
A Year in Provence (Provence #1),Travel,56.88,4,True
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True
Neither Here nor There: Travels in Europe,Travel,38.95,3,True
"1,000 Places to See Before You Die",Travel,26.08,5,True
Sharp Objects,Mystery,47.82,4,True
"In a Dark, Dark Wood",Mystery,19.63,1,True
The Past Never Ends,Mystery,56.5,4,True
A Murder in Time,Mystery,16.64,1,True
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True
The Last Mile (Amos Decker #2),Mystery,54.21,2,True
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True
Most Wanted,Mystery,35.28,3,True
Hide Away (Eve Duncan #20),Mystery,11.84,1,True
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True
The Widow,Mystery,27.26,2,True
Playing with Fire,Mystery,13.71,3,True
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True
The Exiled,Mystery,43.45,3,True
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,True
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,True
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,True
The Girl You Lost,Mystery,12.29,5,True
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,True
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,True
1st to Die (Women's Murder Club #1),Mystery,53.98,1,True
Tipping the Velvet,Historical Fiction,53.74,1,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True
The House by the Lake,Historical Fiction,36.95,1,True
